date,vader-sentiment,blob-sentiment
2010-11-19,0.995,0.153
2010-11-20,0.998,0.125
2010-11-21,0,0
2010-11-22,0.955,0.092
2010-11-23,0.993,0.081
2010-11-24,0.992,0.114
2010-11-25,0.992,-0.019
2010-11-26,0.994,0.118
2010-11-27,0.999,0.075
2010-11-28,0.999,0.099
2010-11-29,0.997,0.087
2010-11-30,0.679,0.076
2010-12-01,0.912,0.096
2010-12-02,0.996,0.111
2010-12-03,0.959,0.093
2010-12-04,0.996,0.082
2010-12-05,0.997,0.16
2010-12-06,0.995,0.097
2010-12-07,0.992,0.115
2010-12-08,0.999,0.06
2010-12-09,0.993,0.043
2010-12-10,0.743,0.057
2010-12-11,0,0
2010-12-12,0.984,0.124
2010-12-13,0.845,0.093
2010-12-14,0.997,0.16
2010-12-15,0.992,0.095
2010-12-16,0.997,0.09
2010-12-17,0.959,0.128
2010-12-18,1.0,0.116
2010-12-19,0.685,0.125
2010-12-20,0.997,0.108
2010-12-21,0.998,0.108
2010-12-22,0.999,0.09
2010-12-23,0.999,0.096
2010-12-24,0.39,0.094
2010-12-25,0,0
2010-12-26,0.999,0.116
2010-12-27,0.991,0.065
2010-12-28,0.995,0.033
2010-12-29,0.333,0.071
2010-12-30,0.999,0.093
2010-12-31,0.965,0.214
2011-01-01,1.0,0.102
2011-01-02,1.0,0.095
2011-01-03,0.843,0.08
2011-01-04,0.746,0.059
2011-01-05,0.968,0.089
2011-01-06,0.7,0.051
2011-01-07,0.878,-0.125
2011-01-08,1.0,0.153
2011-01-09,0.999,0.055
2011-01-10,0.995,0.142
2011-01-11,0.962,0.102
2011-01-12,0.938,0.125
2011-01-13,0.998,0.08
2011-01-14,0.522,0.072
2011-01-15,0.988,-0.005
2011-01-16,0.99,0.05
2011-01-17,0.987,0.053
2011-01-18,0.817,0.111
2011-01-19,0.878,0.069
2011-01-20,0.997,0.069
2011-01-21,0.972,0.106
2011-01-22,0.953,-0.049
2011-01-23,0.995,0.023
2011-01-24,0.722,0.027
2011-01-25,0.803,0.053
2011-01-26,0.998,0.079
2011-01-27,0.722,0.069
2011-01-28,0.993,0.101
2011-01-29,0.996,0.126
2011-01-30,0.981,0.006
