date,GS,JPM,MS,C,BCS,CS,UBS,DB,^VIX,^DJI,^IXIC,^GSPC,^BSESN,^FTSE,^N225,^HSI,^BVSP,^BUK100P,^N100,VGLT,VGSH,VGIT,SPTS,JPST,VCSH,VCIT,VMBS,JNK,USDJPY,USDGBP,USDEUR,USDCHF,USDCAD,ma7,ma21,26ema,12ema,MACD,20sd,upper_band,lower_band,ema,momentum,log_momentum
2014-09-22,185.29,60.91,35.18,53.04,15.26,27.55,17.39,35.89,13.69,17172.679688,4527.689941,1994.290039,27206.740233999997,6773.600098000001,16205.900391,23955.490234,56818.0,11494.860352,849.659973,71.59,60.89,63.61,29.95,,79.99,85.78,52.47,122.04,108.940002,0.61275,0.77873,0.94017,1.09455,185.05571428571395,180.8942857142855,180.2686858636163,183.33069678873707,3.0620109251207737,3.2042742424853476,187.3028341992562,174.4857372293148,185.65517394552944,184.29,5.216510603843946
2014-09-23,185.09,60.94,35.02,52.84,15.1,27.38,17.3,35.28,14.93,17055.869141,4508.689941,1982.77002,26775.689453,6676.100098,,23837.070313,56541.0,11333.664063,837.02002,71.97,60.91,63.66,30.03,,80.0,85.77,52.52,121.5,108.75,0.6108,0.77812,0.93974,1.1038700000000001,185.32999999999964,181.35238095238077,180.6258202440892,183.60135882123905,2.975538577149848,3.2201263051400493,187.79263356266088,174.91212834210066,185.2783913151765,184.09,5.215424768458471
2014-09-24,187.81,61.63,34.98,53.26,15.13,27.78,17.62,35.76,13.27,17210.060547,4555.220215,1998.300049,26744.689453,6706.299805,16167.450195,23921.609375,56824.0,11381.849609,844.4400019999997,71.58,60.92,63.58,30.03,,79.9,85.69,52.44,121.02,108.542,0.6099899999999999,0.7779699999999999,0.93937,1.107,185.87714285714247,181.8257142857141,181.15798170749,184.24884207950996,3.0908603720199608,3.390664583203648,188.6070434521214,175.0443851193068,186.96613043839216,186.81,5.23009205755247
2014-09-25,184.09,60.15,34.22,51.96,14.88,27.31,17.42,35.04,15.64,16945.800781,4466.75,1965.98999,26468.359375,6639.700195,16374.139647999995,23768.130859,55962.0,11269.169922,835.1900019999997,72.36,60.95,63.76,30.01,,79.97,85.96,52.57,120.42,109.316002,0.61259,0.78259,0.94592,1.1075,185.88428571428534,182.120476190476,181.37516824767593,184.22440483650843,2.849236588832497,3.268665267594854,188.65780672566572,175.5831456552863,185.04871014613073,183.09,5.209977835224513
2014-09-26,185.12,60.56,34.65,52.49,14.98,27.75,17.65,35.37,14.85,17113.150391,4512.189941,1982.849976,26626.320313,6649.399902,16229.860352000005,23678.410156,57212.0,11288.693359,840.48999,72.24,60.93,63.65,29.98,,79.93,85.66,52.48,120.27,108.610001,0.61232,0.78388,0.94659,1.1104,185.92714285714246,182.46857142857124,181.65256319229255,184.3621887078148,2.709625515522248,3.1288243546270134,188.72622013782527,176.2109227193172,185.0962367153769,184.12,5.215587718949041
2014-09-29,183.83,60.33,34.5,52.05,14.74,27.55,17.53,34.89,15.98,17071.220703,4505.850098,1977.800049,26597.109375,6646.600098,16310.639647999995,23229.210938,54625.0,11278.02832,835.8099980000003,72.72,60.95,63.78,30.03,,79.96,85.75,52.59,119.94,109.41100300000001,0.61583,0.7890699999999999,0.952,1.1164,185.34714285714244,182.76285714285694,181.8138548076783,184.28031352199713,2.466458714318833,3.0191188589077345,188.8010948606724,176.72461942504148,184.25207890512561,182.83,5.208556759340413
2014-09-30,183.57,60.24,34.57,51.82,14.81,27.64,17.37,34.86,16.309998999999998,17042.900391,4493.3901369999985,1972.290039,26630.509766,6622.700195,16173.519531,22932.980469,54116.0,11255.495117,844.2199710000001,72.36,60.93,63.75,30.14,,79.87,85.77,52.57,120.54,109.389999,0.61568,0.78797,0.9509,1.11596,184.97142857142813,182.9752380952379,181.94393963673917,184.17103451861294,2.227094881873768,2.9269230745293395,188.82908424429658,177.12139194617922,183.79735963504186,182.57,5.207133661125419
2014-10-01,180.7,59.77,33.96,51.1,14.69,27.39,17.33,34.82,16.709999,16804.710938,4422.089844,1946.160034,26567.990234,6557.5,16082.25,,52858.0,11132.762695,835.0599980000003,73.54,60.96,64.02,30.14,,79.99,86.09,52.72,120.24,109.660004,0.6167600000000001,0.79187,0.955,1.12058,184.31571428571388,183.0195238095236,181.85179595994367,183.63702920805713,1.7852332481134567,2.866706298175964,188.75293640587554,177.28611121317167,181.73245321168062,179.7,5.191288793789513
2014-10-02,182.88,58.84,34.28,51.25,14.43,27.01,17.2,34.29,16.16,16801.050781,4430.200195,1946.170044,,6446.399902,15661.990234,,53519.0,10954.234375,813.719971,72.94,60.96,63.91,30.13,,79.86,85.88,52.69,120.24,109.019997,0.61758,0.79213,0.95612,1.115,183.99999999999957,183.1757142857141,181.92795922217007,183.52056317604834,1.5926039538782675,2.773666535947188,188.72304735760846,177.62838121381972,182.49748440389354,181.88,5.20334712895681
2014-10-03,188.07,60.3,35.05,52.32,14.44,26.87,16.8,34.26,14.55,17009.689453,4475.620117,1967.900024,,6527.899902,15708.650391,23064.560547,54540.0,11071.15625,821.950012,73.17,60.91,63.84,30.06,,79.85,86.02,52.72,120.72,108.523003,0.6188100000000001,0.78923,0.9539,1.1156,184.03714285714244,183.5561904761903,182.38292520571304,184.2204765335794,1.8375513278663504,2.831710056151023,189.21961058849234,177.89277036388825,186.21249480129782,187.07,5.231482878360813
